movie_name,release_year,imdb,meta,votes
Inception,2010,8.8,74        ,"2,336,142"
Shutter Island,2010,8.2,63        ,"1,305,035"
Blue Valentine,2010,7.3,81        ,"198,467"
Black Swan,2010,8,79        ,"765,819"
Kick-Ass,2010,7.6,66        ,"563,552"
The Social Network,2010,7.8,95        ,"701,614"
Remember Me,2010,7.1,40        ,"148,357"
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65        ,"547,312"
The Town,2010,7.5,74        ,"391,483"
Grown Ups,2010,5.9,30        ,"253,509"
Scott Pilgrim vs. the World,2010,7.5,69        ,"426,532"
Robin Hood,2010,6.6,53        ,"270,725"
Tangled,2010,7.7,71        ,"453,401"
Legion,2010,5.2,32        ,"106,005"
Love & Other Drugs,2010,6.7,55        ,"205,409"
Alice in Wonderland,2010,6.4,53        ,"415,836"
Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,47        ,"190,074"
Despicable Me,2010,7.6,72        ,"547,631"
The Fighter,2010,7.8,79        ,"368,801"
Iron Man 2,2010,6.9,57        ,"815,577"
Incendies,2010,8.3,80        ,"177,965"
The Expendables,2010,6.4,45        ,"346,759"
The Other Guys,2010,6.6,64        ,"269,992"
I Spit on Your Grave,2010,6.2,27        ,"85,237"
Easy A,2010,7,72        ,"391,933"
Clash of the Titans,2010,5.8,39        ,"283,592"
How to Train Your Dragon,2010,8.1,75        ,"738,348"
Insidious,2010,6.8,52        ,"310,376"
Megamind,2010,7.3,63        ,"263,319"
Tron,2010,6.8,49        ,"338,324"
True Grit,2010,7.6,80        ,"340,029"
RED,2010,7,60        ,"310,045"
Diary of a Wimpy Kid,2010,6.2,56        ,"51,856"
Hot Tub Time Machine,2010,6.4,63        ,"176,397"
The A-Team,2010,6.7,47        ,"259,937"
The King's Speech,2010,8,88        ,"680,735"
Tucker and Dale vs Evil,2010,7.5,65        ,"181,600"
Let Me In,2010,7.1,79        ,"122,624"
Ang-ma-reul bo-at-da,2010,7.8,67        ,"131,457"
Toy Story 3,2010,8.3,92        ,"833,763"
The Twilight Saga: Eclipse,2010,5,58        ,"247,342"
Flipped,2010,7.7,45        ,"90,704"
Piranha 3D,2010,5.5,53        ,"92,187"
Salt,2010,6.4,65        ,"315,973"
The Last Airbender,2010,4,20        ,"164,402"
Unstoppable,2010,6.8,69        ,"198,556"
Submarine,2010,7.3,76        ,"91,539"
She's Out of My League,2010,6.4,46        ,"138,253"
The Karate Kid,2010,6.2,61        ,"185,202"
The Tourist,2010,6,37        ,"244,543"
The Book of Eli,2010,6.8,53        ,"319,511"
Never Let Me Go,2010,7.1,69        ,"146,834"
Prince of Persia: The Sands of Time,2010,6.6,50        ,"290,927"
Frozen,2010,6.2,43        ,"74,417"
A Nightmare on Elm Street,2010,5.2,35        ,"101,877"
The Losers,2010,6.3,44        ,"102,804"
127 Hours,2010,7.6,82        ,"377,838"
Burlesque,2010,6.4,47        ,"86,776"
Monsters,2010,6.4,63        ,"93,265"
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53        ,"155,493"
Machete,2010,6.6,60        ,"198,327"
Leap Year,2010,6.4,33        ,"105,063"
The Way Back,2010,7.3,66        ,"117,351"
Eat Pray Love,2010,5.8,50        ,"98,235"
Sex and the City 2,2010,4.5,27        ,"80,463"
The American,2010,6.3,61        ,"97,832"
The Next Three Days,2010,7.3,52        ,"198,054"
Winter's Bone,2010,7.1,90        ,"143,950"
Predators,2010,6.4,51        ,"232,801"
Knight and Day,2010,6.3,46        ,"197,413"
Cop Out,2010,5.5,31        ,"88,566"
Little Fockers,2010,5.5,27        ,"113,642"
Black Death,2010,6.4,71        ,"48,790"
Buried,2010,7,65        ,"161,843"
Super,2010,6.7,50        ,"80,710"
